Date,BTC,Gold,SP500,FTSE,oil
2020-06-19,9288.0185546875,1728.55,3097.739990234375,6292.60009765625,39.72
2020-06-20,9332.3408203125,1728.55,3097.739990234375,6292.60009765625,39.72
2020-06-21,9303.6298828125,1728.55,3097.739990234375,6292.60009765625,39.72
2020-06-22,9648.7177734375,1745.45,3117.860107421875,6244.60009765625,40.6
2020-06-23,9629.658203125,1756.6,3131.2900390625,6320.10009765625,40.4
2020-06-24,9313.6103515625,1775.7,3050.330078125,6123.7001953125,37.91
2020-06-25,9264.8134765625,1758.55,3083.760009765625,6147.10009765625,38.66
2020-06-26,9162.91796875,1762.1,3009.050048828125,6159.2998046875,38.53
2020-06-27,9045.390625,1762.1,3009.050048828125,6159.2998046875,38.53
2020-06-28,9143.58203125,1762.1,3009.050048828125,6159.2998046875,38.53
2020-06-29,9190.8544921875,1768.8,3053.239990234375,6225.7998046875,39.67
2020-06-30,9137.9931640625,1770.7,3100.2900390625,6169.7001953125,39.27
2020-07-01,9228.3251953125,1787.4,3115.860107421875,6158.0,39.88
2020-07-02,9123.41015625,1771.85,3130.010009765625,6240.39990234375,40.57
2020-07-03,9087.3037109375,1774.65,3130.010009765625,6157.2998046875,40.57
2020-07-04,9132.48828125,1774.65,3130.010009765625,6157.2998046875,40.57
2020-07-05,9073.9423828125,1774.65,3130.010009765625,6157.2998046875,40.57
2020-07-06,9375.474609375,1774.4,3179.719970703125,6285.89990234375,40.51
2020-07-07,9252.27734375,1775.5,3145.320068359375,6189.89990234375,40.59
2020-07-08,9428.3330078125,1799.35,3169.93994140625,6156.2001953125,40.91
2020-07-09,9277.9677734375,1812.45,3152.050048828125,6049.60009765625,39.64
2020-07-10,9278.8076171875,1805.75,3185.0400390625,6095.39990234375,40.56
2020-07-11,9240.3466796875,1805.75,3185.0400390625,6095.39990234375,40.56
2020-07-12,9276.5,1805.75,3185.0400390625,6095.39990234375,40.56
2020-07-13,9243.6142578125,1808.05,3155.219970703125,6176.2001953125,40.06
2020-07-14,9243.2138671875,1798.2,3197.52001953125,6179.7998046875,40.3
2020-07-15,9192.8369140625,1809.3,3226.56005859375,6292.7001953125,41.2
2020-07-16,9132.2275390625,1804.6,3215.570068359375,6250.7001953125,40.74
2020-07-17,9151.392578125,1802.9,3224.72998046875,6290.2998046875,40.55
2020-07-18,9159.0400390625,1802.9,3224.72998046875,6290.2998046875,40.55
2020-07-19,9185.8173828125,1802.9,3224.72998046875,6290.2998046875,40.55
2020-07-20,9164.2314453125,1810.3,3251.840087890625,6261.5,40.83
2020-07-21,9374.8876953125,1823.2,3257.300048828125,6269.7001953125,41.76
2020-07-22,9525.36328125,1851.0,3276.02001953125,6207.10009765625,41.88
2020-07-23,9581.072265625,1882.35,3235.659912109375,6211.39990234375,40.99
2020-07-24,9536.892578125,1893.85,3215.6298828125,6123.7998046875,41.23
2020-07-25,9677.11328125,1893.85,3215.6298828125,6123.7998046875,41.23
